original,ex_predicted
Saudi-led coalition blocks fuel for UN aid planes to Yemen,"The Saudi-led coalition fighting in Yemen is obstructing deliveries of jet fuel to UN planes bringing desperately-needed humanitarian aid to the rebel-held capital Sanaa, a UN official said Tuesday.Auke Lootsma, the country director of the UN Development Program, also reported an outbreak of meningitis in Yemen, compounding the cholera epidemic and the risk of famine in the world's worst humanitarian crisis.The United Nations operates two humanitarian flights into Sanaa from Amman and Djibouti, but there is no jet fuel available in the Yemeni capital for the plane to make the return trip."
US tests unarmed intercontinental ballistic missile,"That month, the Air Force also conducted a test of a missile interceptor launched from Vandenberg."
German hiker found in Swiss Alps 30 yrs after disappearance,"The remains of a German hiker who disappeared while climbing in the Swiss Alps 30 years ago has been found embedded in a glacier, police said on Wednesday."
Veteran actor Dilip Kumar hospitalised in Mumbai,doctors at the hospital said.The 94-year-old Bollywood actor has been facing medical complications in recent years.
Mumbai has 2 out of 12 unique mangrove forests in India ,"Here are the 12 unique mangrove forest locations selected for better conservation:Gulf of Kutch, GujaratEstablished in 1980 and 1982, the Gulf of Kutch Marine National Park (163 sq km) and Marine Sanctuary (295 sq km) are mangrove forests spread across 42 islands with rich marine and mangrove biodiversity."
J&K cops ask Pak High Commission to claim LeT leader's body,"Jammu and Kashmir police approached the Pakistan high commission in Delhi and asked them to claim the body of Lashkar-e-Taiba (LeT) divisional commander Abu Dujana, killed by the security forces on Tuesday.Munir Khan, Inspector General of Police (IGP) Kashmir told reporters on Tuesday that Pakistan high commission has been approached to claim the body of Dujana, who belonged to Gilgit-Baltistan area in Pakistan-administered part of Kashmir.This is for the first time the authorities have approached Pakistan high commission asking them to claim the body of any Pakistani national killed in anti-militancy operations in Jammu and Kashmir."
Amarnath Yatra attack mastermind to be Kashmir LeT chief,"LeT commander Abu Ismail, a Pakistani national, was the mastermind of the deadly attack on Amarnath Yatra in which seven pilgrims, including six women, were killed and 19 were injured."
US Prez Donald Trump called White House a real dump: Report,"The real beauty of the White House,?"
Email prankster fooled fired Trump media chief thrice,The White House has confirmed it is looking into the matter.
UK-based doctor charged with 118 sexual offences,"The police investigation began over four years ago, after claims of sexual assault were made to detectives, and uncovered a series of allegations concerning alleged sexual offences.Specialist detectives from Scotland Yard's sexual abuse command have been involved in investigating the claims."
Trump campaign was dysfunctional for any collusion: Kushner,"The aide was knowledgeable of the meeting and confirmed the accuracy of the comments.Last week, Kushner met privately at the Capitol with members of the Senate and House intelligence committees.He acknowledged four meetings with Russians during and after Trump's victorious White House bid and insisted that he had ?nothing to hide."
Imran Khan accused of harassing women party leaders,"text messages and harassing women leaders of the party.Ayesha Gulalai, elected to the National Assembly in 2013 from a reserved seat for women in the tribal areas bordering Afghanistan, also announced her decision to quit the PTI because she could not compromise on her honour and dignity.Addressing a news conference in Islamabad on Tuesday, Gulalai said the ?honour?"
JK Rowling apologises for tweets against Donald Trump,"London, Aug 1 (PTI) Renowned Harry Potter author J K Rowling has apologised for wrongly accusing US President Donald Trump of refusing to shake the hand of a 3-year-old disabled child during an event."
Central Delhi air has considerable PM1 pollutant: Study,"Globally, too, there might not be a standard but PM1 is considered the most dangerous among all particulate matter, particularly because of its size."
Congress workers booked for violence at Ghaziabad Haj House,?The FIR is lodged at Sahibabad police station and we have arrested three persons in this connection.
Donald Trump ready for war with North Korea: US Senator,"There will be a war with North Korea over the missile program if they continue to try to hit America with an ICBM,?"
Sunil Pal accuses director Bazmee of non-payment of dues,adds Sunil of The Great Indian Laughter Challenge fame.Director Anees Bazmee denied the allegation brought against him by Sunil Pal.When we got in touch with Bazmee he said that the deal happened between Mayur and Sunil and he has nothing to do in it.
Rakshabandhan compulsory for employees in Daman and Diu,The Daman and Diu administration on Wednesday withdrew a circular that asked women staff to tie rakhis on male colleagues after the order triggered a backlash from employees and was ripped apart on social media.The union territory's administration was forced to retreat within 24 hours of issuing the circular that made it compulsory for its staff to celebrate Rakshabandhan at workplace.
N Korea travel ban to take effect from September 1: US,The United States on Wednesday officially set September 1 as the start date for a ban prohibiting its citizens from travelling to North Korea.
In govt interest to protect jobs at Air India: FM Jaitley,"New Delhi, Aug 1 (PTI) Finance Minister Arun Jaitley today said a ""proper decision"" would be taken on Air Indias future in a competitive market and that it would be in the governments interest to protect jobs at the airline."
"Firm loses ?1,690cr in value as boss fired over 'misconduct'","John Leach, who was senior independent director, has been appointed as chairman.The company had already announced plans to split the combined roles of executive chairman, with the aim of appointing a chief executive.In a trading update published alongside the announcement of Mackenzie's departure, the AA said it was confident about the company's long-term prospects but its financial performance in the first half of 2017 had been hit by a number of factors."
"Ramdev, Sonakshi to judge bhajan reality show: Reports","The show will be judged by Yoga guru Baba Ramdev, Bollywood actress Sonakshi Sinha, music director Shekhar Ravjiani and singer Kanika Kapoor."
Ask psychiatrist why Censors fear female sexuality: Shah,"And the veteran actor can?t figure out why the film was initially denied certification by the Central Board of Film Certification (CBFC), aka Censor Board."
Sleeping on film sets is a gifted moment in script: Big B,"Amitabh also shared a photograph of himself from a film's set, where he was seen taking a nap."
Punjab cop thrashes vendor who refused to pay bribe,"After the video of a policeman hitting a man outside the passport office on Link Road in Ludhiana went viral, the commissioner of police, RN Dhoke, on Tuesday marked an inquiry to the assistant commissioner of police (ACP),  Atam Nagar, Naveen Kumar.The victim, Gurdeep Singh of Khud Mohalla, who sells file covers outside the passport office, said that on Monday while he was making sales from his makeshift stall, two PCR cops turned up there."
Mumbai court convicts 15 Somali pirates in 2011 case,They also captured the 15 Somali pirates who jumped into the sea and took them into custody.
"Teacher stripped girls for poor marks, school denies charges","she asked.A complaint has been lodged against the teacher and police are investigating the matter, superintendent of police (rural), Manikant Mishra said, adding that the case has been handed over to women helpline sub-inspector Pramila Bisht."
Successive governments short-changed Air India: TMC leader,"New Delhi, Aug 2 (PTI) Successive governments have ""short changed"" Air India by treating it like their private properties, TMC leader Dinesh Trivedi said today as he urged the Centre to review the decision to divest stake in the airline."
British American Tobacco under probe over bribery claims,"solicitor, said BAT had changed its tone."
"Not suffering from depression, it's just a big term: Kapil","In an interview to Dainik Bhaskar, Kapil cleared the air surrounding his ill health and said that he merely has blood pressure problems, not depression.According to several rumours floating around since past few months, Kapil has been under a lot of stress due to the falling TRPs of his show, The Kapil Sharma Show."
Release of Shraddha Kapoor's 'Haseena Parkar' postponed,The new release date is yet to be announced.Shraddha Kapoor as young and old Haseena in the film.A Mid Day report quoted the film's director Apoorva Lakhia: ?We collectively decided to postpone the film so that it can get enough screens and a worthy run at the box-office.
Substance abuse is like a bad marriage: Prateik Babbar,It took him five years and lot of courage to openly speak about his battle with drug addiction.
CBFC member made sexist remark: Babumoshai Bandookbaaz maker,Then they told us that there are 48 cuts.
Can't believe a normal hug with Salman was trending: Sana,says Sana.I?m not a psychopath to hug somebody if the person doesn?t want to talk to me.
"Used to get scared of online rape, acid attack threats: Dia","And when you express your opinion on something that deeply matters to you, it doesn?t matter how people construe it,?"
"Kapil and I don't need mediator to resolve feud, says Sunil",says Sunil.
"Bible, Quran removed from Abdul Kalam's Tamil Nadu memorial","Indian authorities have removed a copy of the Bible and the Quran from a new statue of a former president after a complaint by a Hindu nationalist party, officials said Tuesday.The removal of the books has fuelled a religious row over a carving depicting a Hindu holy book placed next to the statue of APJ Abdul Kalam at Rameswaram in the southern state of Tamil Nadu.Kalam, who as a scientist played a leading role in India's landmark 1998 nuclear weapons tests, was president from 2002-2007 and a strongly secular figure.The sculpted Hindu Bhagvad Gita book was placed next to the statue before it was inaugurated by Prime Minister Narendra Modi last week on the second anniversary of Kalam's death.Relatives placed the Bible and the Quran next to the Gita in protest."
Mob assaults man caught with woman in compromising position,"A 25-year-old man was battling for life on Wednesday after he was assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Jharkhand's Bokaro town, police said.The man, identified as Sakib Ansari, was unconscious when police rescued him from the mob comprising 50-odd men."
Are you a virgin? Bihar medical institute asks its employees,"Speaking to India Today, the Deputy Medical Superintendent, Dr Manish Mandal said that the marriage declaration form with the contentious questions have been in practice ever since the institute was established in 1984."
Mumbai's Juhu beach to be redeveloped,"While the first phase of the project faced opposition from some citizens and activists, Juhu residents said they welcome the beautification work."
Kriti replies to Hate Story actress Bhairavi's remark on her,"The crass tweet soon got a serious backlash on Twitter with many questioning who Bhairavi was.But the best reaction, by far, has been that of Kriti herself."
Tom Hiddleston to star in play on Shakespeare's 'Hamlet',"A further 20% will be £45 and the remainder £95.In something of a first, there will be no guaranteed tickets for critics, with journalists welcome to take their chances in the ballot.To prevent the risk of a black market, people will only be able to collect their tickets up to an hour before the show with documentation to prove who they are.The money raised from the production will support the Rada Attenborough project, which aims to raise £20m for the regeneration of the academy's premises on Chenies Street including, for the first time, the provision of on-site accommodation.Branagh said the production would be a celebration of both Shakespeare and Rada."
Egypt's Islamic authority sets up fatwa kiosk at metro,"said one sheikh staffing the booth for the morning commute, who declined to be named.According to al-Azhar al-Sharif, Egypt's top Islamic body, which installed the booth, the project is intended to correct misinterpretations of Islam."
What gifts did PM Narendra Modi take home this year?,"Also deposited at the repository is the model of Emirati National House, valued at Rs 4500 and a the decorative sculpture with Argillite carving, valued at Rs 2000."
Over 20-yr-old museum may be shifted to Mumbai zoo,BEST authorities said it has asked the Brihanmumbai Municipal Corporation (BMC) for space on the second floor of this building.
Priyanka Chopra shares picture with singer Bryan Adams ,"A post shared by Priyanka Chopra (@priyankachopra) on Aug 1, 2017 at 12:04pm PDT?Was so good to see you again @bryanadams happy to be a part of such an amazing project #heartheworldfoundation,?"
I-T dept recovers ?5 cr from K'taka Min hosting Gujarat MLAs,"Ahmed Patel (@ahmedpatel) August 2, 2017Read more | Congress parades 44 Gujarat MLAs, says BJP tried to bribe them ahead of Rajya Sabha pollsCongress's leader in Rajya Sabha Ghulam Nabi Azad asked why the raids were ?taking place today and not a month later or before?.But an I-T department statement later denied the raids were related to the stay of the Gujarat MLAs."
Swara talks about unequal pay for actresses in Bollywood,"In Hollywood, women are taking up this whole question of equality and I think that's fantastic, so why can?t Bollywood take its cue from them?"
'Victoria & Abdul' costumes to be displayed at Queen's home,"We have now learnt that the costumes used during the shoot of the movie will be displayed at the Osborne House in the UK.The dresses from Victoria and Abdul shoot being displayed at Osborne House.Directed by Oscar nominee Stephen Frears, Victoria and Abdul is based on the friendship between Queen Victoria and her most trusted clerk, Abdul Karim."
First met SRK with a drunk girl hanging on to him: Imtiaz,"When he saw me, he stopped, and we had quite a long conversation even as the girl kept murmuring 'Oh Shah Rukh, Oh Shah Rukh' all over him."
UP government makes registration of marriages compulsory,"The Uttar Pradesh cabinet on Tuesday approved a proposal to make registration of marriages compulsory for every resident of the state, regardless of religion or community.Chief minister Yogi Adityanath presided over a cabinet meeting to adopt the Uttar Pradesh Marriage Registration Rules-2017, which stipulates compulsory registration of marital alliances and lays down penalties for any delay in this regard."
"NGT directs UP, Delhi to clean debris from Yamuna floodplain","the bench said.The tribunal reconstituted the principal committee, formed to see the execution of the cleaning of the Yamuna, and included Shashi Shekhar, former secretary of ministry of water resources, as a special invitee.It also convened a meeting of stakeholders, including officials from Delhi, Haryana, Himachal Pradesh, and Uttar Pradesh, on August 8 at 3pm at the tribunal to discuss the cleaning and rejuvenation of the Yamuna.During the hearing, the counsel appearing for the Delhi government told the NGT that steps were being taken by the Delhi Jal Board to ensure that work to clean the Yamuna was completed with utmost expeditiousness."
Stop doping or the sport dies: Usain Bolt to fellow athletes,"?I said a couple of years ago it had to get really bad, when there's nowhere else to go but up."
Fire breaks out in Sheila Dixit's house in Delhi,A minor fire broke out in the basement of former Delhi chief minister Sheila Dikshit's house in central Delhi's Nizamuddin East on Wednesday morning.Fire control room officials said that the fire started in the electricity metre board in the basement of the house.
Woman bites off her alleged rapist's tongue,"A woman in Kerala's Kochi bit off the tongue of a neighbour on Monday night when he allegedly tried to molest her, police said.The woman filed a police complaint against her 30-year-old neighbour and said she bit off the tongue when he allegedly tried to force himself on her and kiss her."
15-yr-old Haryana girl pregnant after being raped by cousins,The police said the girl was taken to a hospital by her family on July 29 after she complained of stomach ache.
Koena files sexual harassment case after getting lewd calls,A Mid Day report said that Koena received a call and a stranger asked her for a night out.
76% Bihar cabinet ministers face criminal charges,"Many other ministers face cases of dacoity, theft, fraud and atrocities against them.Interestingly, the average income of a minister in the new cabinet is Rs 2.46 crore, even as the percentage of crorepati ministers dropped marginally this time as compared to Kumar's previous government."
DU college to start child care facilities for staff kids,"she said.Permanent teachers get a maternity leave of six months and child care leave of two years, which they can take in breaks or one go.Sonica Sihngvi, a teacher of Economics at the college who is currently on childcare leave, said the crèche will be of great help to her and other parents with toddlers."
Vehicles consume 1.5 times more fuel on crowded roads: Study,"?The initial findings of the study conducted on two road stretches in Delhi have revealed that Delhiites could be consuming at least two-to-three times more fuel because of bad quality roads and traffic conditions,?"
India to play record 23 home matches in 4 months this year,"ahead of second India vs Sri Lanka Test match)  According to a BCCI office-bearer, Indian cricket team will play five ODIs and three T20 Internationals against Australia from September end to mid of October."
No info on hiring class 12 boy on ?12 lakh per month: Google,Google recruits Harshit as a trainee graphic designer for the time being.
Female teacher suspended for getting a massage from student,"A woman teacher in Odisha's Sambalpur district on Tuesday placed under suspension on charge of getting herself massaged by a girl student in the school.The authorities took action against the lady teacher after a video of the incident went viral in the social media.Sambalpur District Education Officer (DEO), Pramod Panda confirmed about the suspension of the lady teacher of Sikirdi Project Upper Primary School, Bharati Meher.The DEO said Meher was suspended after the video came to our notice on?Tuesday.Meher, who is also in-charge headmistress of the school, admitted that a girl student had massaged her head."
EasyJet passengers stranded in Greece due to mating turtles,A spokesman said: ?Unfortunately easyJet was unable to operate flight EZY8746 from Zante to London Gatwick on Sunday 30 July due to a technical fault with the aircraft and had to delay the flight overnight.
Picture of Sushant in spacesuit at NASA shared online,"Taran Adarsh shared the picture and wrote, ?Sushant Singh Rajput to undergo special training at NASA's Space & Rocket Center... Enacts the part of an astronaut in #ChandaMamaDoorKe.?"
Sri Lankan held for entering Delhi Airport on fake ticket,"The man was apprehended last evening when a Central Industrial Security Force (CISF) personnel, deployed for the airports security, found him roaming suspiciously inside the terminal-III building, a senior official in airport security said."
20 stuck in Gurugram mall lift for 90 mins rescued,The police had to break the glass of the elevator and rescue the family.
"SpiceJet passengers, crew face-off over delay",The face-off between the passengers and the crew ensued after the flight failed to depart even after the said timing.
Rape-accused kills self after order to drink victim's urine,"Thereafter, the panchayat asked him to drink the girl's urine."
Online assessment delayed Mumbai University results: Maha CM,"The MU had recently shifted to an online system for assessment of answer papers, which caused a delay in completing the assessment work."
Shops relocated to decongest Delhi Airport,"New Delhi, Aug 1 (PTI) Shops at the domestic terminal of Delhi airport have been relocated to provide additional space for seamless passenger movement, the government said today."
Plane built for Russian airline may be next US Air Force One,"Facing pressure from President Donald Trump to cut the cost of new Air Force One aircraft, the US Air Force is negotiating with Boeing to purchase two 747-8 jetliners that were built for a Russian airline that went bankrupt before they were delivered."
HC to hear fresh appeals of Talwars in Aarushi murder case,"Allahabad, Aug 01 (PTI) The Allahabad High Court today said it would hear afresh the appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help Hemraj, seven months after reserving its judgement in the matter."
13 people die in a day while travelling in Mumbai locals,"According to the railway data, 348 people died on the Central line while 323 persons died after falling off trains on the Western line this year till June."
Gujarat Congress MLAs in Bengaluru not allowed to go out,"While the minister is presently in New Delhi to seek further course of action, 30 MLAs have been put in-charge of the discipline."
Only 5% chance of Earth reaching Paris climate goal: Study,"There is only a 5% chance that the Earth will avoid warming by at least 2C come the end of the century, according to new research that paints a sobering picture of the international effort to stem dangerous climate change.Global trends in the economy, emissions and population growth make it extremely unlikely that the planet will remain below the 2C threshold set out in the Paris climate agreement in 2015, the study states."
Bee attack delays Hyderabad-Pune flight by an hour ,"Air India spokesperson, Dhananjay Kumar, confirmed the incident and said that taking safety as priority, the pilot took necessary precautions before taking off the flight."
Indian women's cricketer Shikha felicitated by IAF Chief,"New Delhi, Aug 1 (PTI) Flight Lt Shikha Pandey, a member of the Indian womens cricket team, was today felicitated by Indian Air Force chief BS Dhanoa for her sterling performance at the recent World Cup."
J'khand clears draft bill to ban forced religious conversion,"As per the 2011 census, the Christian population in Jharkhand rose by a whopping 29.7% in the last 10 years followed by that of Muslims 28.4%, while Hindu population rose by 21%.To begin with, the government curbed the flow of government funds to various Christian affiliate social organisations and development groups that were allegedly misusing government money to convert people.Chief minister Das has voiced his concerns over the conversion of tribals through force or allurement on several occasions, and asked gullible tribals to protect their culture and religious practices at any cost."
No accurate govt data on illegal migrants: Kiren Rijiju,"Detention centres have also been set up for detaining suspected illegal migrants, pending their deportation.He said illegal migrants disturbed the demographic profile of certain areas and create problems.Responding to the issue of Rohingya refugees, he said they are concentrated in Jammu and Kashmir.When asked by opposition members whether government has set up ?concentration camps?"
Maha farmers to fast indefinitely to protest land acquisition,"DMIC officials maintain they are not planning forcible acquisition of land and a majority of the land for the phase one of the project has been acquired through negotiations.Ulka Mahajan, a member of the committee, said, ?We demand the state government form a committee to look into our concerns."
Will expose links of Lalu's kin with sand mafia: Bihar Dy CM,Bihar deputy chief minister Sushil Modi on Tuesday alleged that he would soon come out with documentary proof of sand mafia funding the RJD and investing in Lalu Prasad's family assets.
Hansal denies reports of Kangana turning editor for Simran ,"""I'm even more hurt that some malicious person chooses to drag my relationship with Vishal Bhardwaj into this malice."
China will never allow anyone to take away territory: Prez,"On July 30, Xi during a massive PLA parade had said, ""I firmly believe that our gallant military has both confidence and ability to defeat all invading enemies""."
Maha agri minister took most leaves from cabinet meetings,"Apart from Chief Minister Devendra Fadnavis, not a single minister has a 100% attendance record for the cabinet meetings that were  held from July 2016 to May 2017."
Russia bans VPNs to stop users from accessing censored sites,"Russian President Vladimir Putin has signed a law that prohibits technology that provides access to websites banned in the country, the government's website said.The law, already approved by the Duma, the lower house of parliament, will ban the use of virtual private networks (VPNs) and other technologies, known as anonymizers, that allow people to surf the web anonymously."
Jaguar should've paid me for making the brand popular: Sukhe,"Punjabi songs ki wajah se promotion hoti hai films ki, and thus contribute to making it a hit."
"Remove Emergency, scam references from Maha textbooks: Opp'n","Sanjay Dutt who raised the issue in the upper house said, ?The defamatory reference to former PM Indira Gandhi while mentioning the Emergency and Rajiv Gandhi about Bofors in the state school board's history and political science textbook for Class 9 should be removed."
People drinking on Goa beaches could be arrested: Minister,"The BJP-led Goa government on Tuesday told the state legislative assembly that strict action would be taken against the people found drinking on the state beaches, and if need be, they could even be arrested."
 Female labourer who turned arms supplier arrested in Delhi,"Delhi Police special cell on Saturday arrested a woman in connection with an arms trafficking racket and recovered 14 semi-automatic sophisticated pistols of 7.65mm with 14 magazines from her possession.Mobai (45), police said, is a proclaimed offender with many cases of arms act registered against her."
Serena calls for equal pay for black women in personal essay,"Serena Williams, one of the highest paid and most successful athletes in the world, has issued a stirring call for black women to demand equal pay and spoken about the racism she has faced ?on and off the tennis court?.In a personal essay published by Fortune to coincide with Black Women's Equal Pay Day, the tennis superstar said the gender pay gap ?hits women of colour the hardest?, as they suffer from both gender and racial financial disparity."
President's Press Secy Ashok Malik resigns from ITC board,"New Delhi, Aug 1 (PTI) Diversified conglomerate ITC today said Ashok Malik, who has been appointed the press secretary of the President of India, has resigned from its board of directors."
Pulitzer prize winning playwright Sam Shepard passes away,He also received an Oscar nomination for best supporting actor for his role in The Right Stuff.Shepard started writing plays in the 60s.
Paytm to launch own messaging service: Reports,"Leading digital payments firm Paytm plans to launch a messaging service to rival Facebook Inc's WhatsApp by the end of August, a source familiar with the matter said on Tuesday.SoftBank and Alibaba-backed Paytm is seeking to attract people in India to use the new messaging service embedded in its app, which many already use to buy everything from food to plane tickets.Paytm's messaging service will allow users to send audio, video and pictures and texts, the source, who declined to be named, said.Paytm currently has more than 225 million users.Earlier this year, another home grown messaging platform Hike rolled out an in-app electronic payments service to cash in on rising digital transactions in India.E-payments in India surged after the country banned old high-value currency notes late last year."
Demonetisation has led to squeezing of terror funds: Jaitley,"Deputy leader of the Congress Anand Sharma said the decision to provide the NOTA option had been made without amending the Constitution or the law as per the direction of the Election CommissionHighlights of Day 12 of the Parliament's Monsoon Session:7.18 pm: Expansion of GST will help benefit states: Jaitley.6:46 pm: Demonetisation has led to squeezing of terror funds, including in Jammu and Kashmir, says finance minister Arun Jaitley in Lok Sabha.3:15 pm: Rajya Sabha moves to consider and vote on Right of Children to Free and Complaint Education (Amendment) Bill, 2017.3:10 pm:  TMC's Sudip Bandhopadhyay speaks about impact of demonetisation and GST."
Will give up life but never support state's division: Mamata,"West Bengal chief minister Mamata Banerjee on Tuesday said she will never support the division of the state and urged all political parties in the hills to restore peace and normal life in Darjeeling, where the indefinite shutdown entered its 48th day."
"Kohli will catch up with Dhoni as captain, says Ravi Shastri",ahead of second India vs Sri Lanka Test match) The claim may be tall since Dhoni remains the only cricket captain in the world to win all ICC trophies ?
I will show Vijender what Chinese are capable of: Zulpikar,"China's number one boxer and WBO Oriental Super Middleweight Champion Zulpikar Maimaitali has hit back at Vijender Singh ahead of Asia's biggest showdown 'Battleground Asia', saying he will show the Indian knockout king what ""Chinese are capable of"".Ahead of the bout, Vijender had trolled his Chinese opponent and said that he would try to finish the bout as soon as possible as ""Chinese products don't last long"".Replying to Vijender's comments Maimaitiali said, ""I will show Vijender what Chinese are capable of."
Opposition walks out after rape allegations against Minister,"Senior NCP leader Ajit Pawar demanded a probe into the allegations made by a woman from Sangli district against the minister, who is not from BJP, but from one of the party's smaller allies."
Woman stabbed in front of 4-yr-old son outside Thyagaraj,Doctors told police that she had been stabbed at least five times.
Lalu Prasad calls Nitish Kumar 'palturam' of Indian politics,"in the country and added that ?there is no one who can defeat him?.Nitish Kumar also explained that he had given his long time friend Lalu Prasad ample opportunities to explain the charges of corruption against him, but to no avail.If Lalu Prasad had explained himself over the corruption allegations, then the situation could have been different in Bihar, Nitish Kumar said."
2 Chinese nationals held for swapping ?34L diamond with fake,"Two Chinese nationals, on Monday, managed to replace a piece of diamond jewellery with a fake one at Mumbai's India International Jewellery Show."
